date,open,high,low,close,volume,average,barCount
2024-03-25 14:00:00-04:00,172.6,173.72,172.53,172.66,-1.0,-1.0,-1
2024-03-25 15:00:00-04:00,172.66,172.82,171.89,172.63,-1.0,-1.0,-1
2024-03-26 09:30:00-04:00,178.6,183.27,177.68,181.98,-1.0,-1.0,-1
2024-03-26 10:00:00-04:00,181.98,184.25,180.97,183.31,-1.0,-1.0,-1
2024-03-26 11:00:00-04:00,183.31,183.37,180.81,180.86,-1.0,-1.0,-1
2024-03-26 12:00:00-04:00,180.86,182.02,179.8,180.14,-1.0,-1.0,-1
2024-03-26 13:00:00-04:00,180.14,180.18,178.71,179.07,-1.0,-1.0,-1
2024-03-26 14:00:00-04:00,179.07,179.88,178.9,179.56,-1.0,-1.0,-1
2024-03-26 15:00:00-04:00,179.56,179.57,177.38,177.69,-1.0,-1.0,-1
2024-03-27 09:30:00-04:00,181.44,181.52,176.19,176.22,-1.0,-1.0,-1
2024-03-27 10:00:00-04:00,176.22,178.83,176.01,178.54,-1.0,-1.0,-1
2024-03-27 11:00:00-04:00,178.54,179.54,178.14,179.48,-1.0,-1.0,-1
2024-03-27 12:00:00-04:00,179.48,181.91,179.35,180.68,-1.0,-1.0,-1
2024-03-27 13:00:00-04:00,180.68,180.71,179.44,179.62,-1.0,-1.0,-1
2024-03-27 14:00:00-04:00,179.62,180.78,179.57,180.11,-1.0,-1.0,-1
2024-03-27 15:00:00-04:00,180.11,180.24,179.13,179.89,-1.0,-1.0,-1
2024-03-28 09:30:00-04:00,177.43,179.55,176.31,176.77,-1.0,-1.0,-1
2024-03-28 10:00:00-04:00,176.77,177.85,175.71,177.52,-1.0,-1.0,-1
2024-03-28 11:00:00-04:00,177.53,177.77,176.02,176.85,-1.0,-1.0,-1
2024-03-28 12:00:00-04:00,176.85,177.98,176.28,177.59,-1.0,-1.0,-1
2024-03-28 13:00:00-04:00,177.59,177.84,176.69,176.79,-1.0,-1.0,-1
2024-03-28 14:00:00-04:00,176.79,177.01,176.08,176.25,-1.0,-1.0,-1
2024-03-28 15:00:00-04:00,176.25,176.57,175.31,175.78,-1.0,-1.0,-1
